product_category_name_english,order_count
agro_industry_and_commerce,212
air_conditioning,297
art,209
arts_and_craftmanship,24
audio,364
auto,4235
baby,3064
bed_bath_table,11115
books_general_interest,553
books_imported,60
books_technical,267
cds_dvds_musicals,14
christmas_supplies,153
cine_photo,72
computers,203
computers_accessories,7827
consoles_games,1137
construction_tools_construction,929
construction_tools_lights,304
construction_tools_safety,194
cool_stuff,3796
costruction_tools_garden,238
costruction_tools_tools,103
diapers_and_hygiene,39
drinks,379
dvds_blu_ray,64
electronics,2767
fashio_female_clothing,48
fashion_bags_accessories,2031
fashion_childrens_clothes,8
fashion_male_clothing,132
fashion_shoes,262
fashion_sport,30
fashion_underwear_beach,131
fixed_telephony,264
flowers,33
food,510
food_drink,278
furniture_bedroom,109
furniture_decor,8334
furniture_living_room,503
furniture_mattress_and_upholstery,38
garden_tools,4347
health_beauty,9670
home_appliances,771
home_appliances_2,238
home_comfort_2,30
home_confort,434
home_construction,604
housewares,6964
industry_commerce_and_business,268
kitchen_dining_laundry_garden_furniture,281
la_cuisine,14
luggage_accessories,1092
market_place,311
music,38
musical_instruments,680
office_furniture,1691
party_supplies,43
perfumery,3419
pet_shop,1947
security_and_services,2
signaling_and_security,199
small_appliances,679
small_appliances_home_oven_and_coffee,76
sports_leisure,8641
stationery,2517
tablets_printing_image,83
telephony,4545
toys,4117
watches_gifts,5991
